country_code,country_name,lens1_displacement_velocity,lens1_absorption_capacity,lens1_ratio,lens1_corridor,lens2_demographic_load,lens2_retirement_offset,lens2_overlap_score,combined_corridor_v1,confidence,notes
SE,Sweden,0.5506,0.5,1.101,1,-0.002,0.204,0.4,1,low,tier:relative_resilience; eu27-baseline+tier:relative_resilience; retirement<50% — demographic buffer thesis fails
SI,Slovenia,0.4943,0.175,2.824,2,-0.007,0.224,0.2,2,low,L4 unassigned-tier proxy; eu27-baseline; retirement<50% — demographic buffer thesis fails
SK,Slovakia,0.5053,0.175,2.887,2,-0.007,0.224,0.2,2,low,L4 unassigned-tier proxy; eu27-baseline; retirement<50% — demographic buffer thesis fails
NO,Norway,0.5287,0.5,1.057,1,-0.002,0.224,0.4,1,low,L4 unassigned-tier proxy; eu27-baseline; retirement<50% — demographic buffer thesis fails
IS,Iceland,0.5127,0.5,1.025,1,-0.001,0.224,0.4,1,low,L4 unassigned-tier proxy; eu27-baseline; flagged as sparse data per spec; retirement<50% — demographic buffer thesis fails
LI,Liechtenstein,0.5477,0.225,2.434,2,0.0015,0.224,0.2,2,low,L1 employment proxied from CH; L4 unassigned-tier proxy; eu27-baseline; flagged as sparse data per spec; retirement<50% — demographic buffer thesis fails
CH,Switzerland,0.5477,0.225,2.434,2,0.00274,0.234,0.2,2,high,retirement<50% — demographic buffer thesis fails
UK,United Kingdom,0.5436,0.16,3.397,3,-0.003,0.214,0.25,3,medium,L4 unassigned-tier proxy; retirement<50% — demographic buffer thesis fails
BA,Bosnia and Herzegovina,0.4477,0.175,2.558,2,,,,2,partial-coverage,candidate-status partial-coverage; L1 only; L2/L4/L5 data not available; absorption capacity proxied as candidate-baseline
MK,North Macedonia,0.4634,0.175,2.648,2,,,,2,partial-coverage,candidate-status partial-coverage; L1 only; L2/L4/L5 data not available; absorption capacity proxied as candidate-baseline
RS,Serbia,0.4802,0.175,2.744,2,,,,2,partial-coverage,candidate-status partial-coverage; L1 only; L2/L4/L5 data not available; absorption capacity proxied as candidate-baseline
TR,Turkey,0.4190,0.175,2.394,2,,,,2,partial-coverage,candidate-status partial-coverage; L1 only; L2/L4/L5 data not available; absorption capacity proxied as candidate-baseline
