term	standard_definition	einfache_definition
Breach flag	A country-level marker indicating capability-floor breach (12 countries: BE, CH, DE, DK, IE, IS, LI, LU, NL, NO, SE, UK).	Ein Hinweis, dass ein Land die Untergrenze unterschritten hat.
Polycrisis drag	Lens 5 composite measuring how much concurrent crises (defence, climate, migration, MFF strain) reduce ALMP and reskilling effectiveness.	Wie sehr gleichzeitige Krisen die Anpassungs-Fähigkeit eines Landes schwächen.
S2 dependent	Country flag (AT, LU, TR) indicating that S2 Climate Adaptation Boom is the only routine scenario producing a C1 corridor placement; tech-led reinstatement is structurally closed.	Ein Hinweis, dass nur das Klima-Szenario das Land in die sicherste Gruppe bringt.
Jobs Transform	The S3 scenario: AI substitutes for routine tasks within existing occupations; wages stay stable or rise modestly; jobs reshape — workers spend less time on routine sub-tasks and more on judgment, coordination, and non-routine cognitive-social work. Empirical anchors: Brynjolfsson 2025 (call-centre RCT), Dell'Acqua 2023 (BCG consultants +40% inside the frontier), Nielsen forklift framing.	Ein Szenario, in dem KI Aufgaben innerhalb bestehender Berufe übernimmt. Die Berufe verändern sich, aber die Löhne bleiben stabil oder steigen leicht.
IPCC AR6 likelihood scale	A standardized probability vocabulary (very likely, likely, about as likely as not, unlikely, very unlikely) used to communicate uncertainty bands.	Eine Sprache für Wahrscheinlichkeiten, vom IPCC.
Liberal Market high	A C3 within-corridor sub-cluster (Ireland, UK) at ratio 3.33–3.40, with high knowledge-economy concentration paired with weak ALMP capacity.	Eine Gruppe innerhalb von C3: Irland und das Vereinigte Königreich.
CEE / Mediterranean weak-ALMP	A C3 within-corridor sub-cluster (13 countries) at ratio 2.81–2.96, pulled in by the structural-bias-corrected 2.80 floor.	Die zweite Gruppe in C3: 13 Länder mit schwachen Trainings-Programmen.
Continental Corporatist	A C2 within-corridor sub-cluster (BE, FR, LU, NL) marked by strong ALMP capacity and squeeze-flag clustering.	Eine Gruppe in C2: Belgien, Frankreich, Luxemburg, Niederlande.
Germanic Dual	A C2 within-corridor sub-cluster (AT, CH, DE, LI) marked by post-growth or post-growth-proxied regime, with three carrying the breach flag.	Eine Gruppe in C2: Österreich, Schweiz, Deutschland, Liechtenstein.
Education / Admin Lift	An archetype within the high-coordination cluster (DK, IS, LU, NO) where teaching-heavy occupational structure pulls the Klinger coordination signal up.	Länder, in denen viele Menschen in Bildung und Verwaltung arbeiten.
Finance / Tech Drag	An archetype within the high-coordination cluster (CH, DE, IE, UK) where ICT-heavy occupational structure pulls the Klinger coordination signal down.	Länder, in denen viele Menschen in Finanzen und IT arbeiten.
Currently failing	A Class IV signal where institutional capacity is at or near saturation, making routine scenario perturbation analysis operationally moot (MK, RS, TR).	Ein Land, dessen Institutionen schon überlastet sind.
A→C transition rate	Share of clerical/admin (Zone A) workers who can move into healthcare, trades, and care (Zone C) within five years; the load-bearing absorption-capacity input on Lens 1. Ranges from 9.9% (Nordic flexicurity, derived central) to 3.2% (Liberal Market — Ireland, UK).	Wie viele Büro-Arbeiter in 5 Jahren in Pflege-, Handwerks- oder Gesundheits-Berufe wechseln können.
Reform-velocity composite	A 0–10 score blending veto-player count and recent-reform pace, used at country-specific resolution to derive the A→C transition rate (DE rv=5, AT rv=3, CH rv=1).	Eine Zahl, die zeigt, wie schnell ein Land seine Arbeits-Markt-Regeln reformieren kann.
Internal-transition diagnostic	Firm-level metric — internal transition speed vs external turnover. When external turnover exceeds internal transition speed, the firm pays to produce capability and the market captures it. Country-level data is in the known-limits list.	Ein Maß für Firmen: wie schnell jemand intern in eine neue Rolle wechselt, verglichen damit, wie schnell Mitarbeiter die Firma verlassen.
Deep-reskilling need	The cohort of workers requiring a full occupational reset (not upskilling) by 2035. EU-27 plus UK total: ~7.55 M. Against ~450 K annual net new training capacity, implies a 15-year backlog.	Die Zahl der Arbeiter, die einen kompletten Berufs-Wechsel brauchen.
Regulatory asymmetry	The friction-points delta between EU and UK regulatory regimes (avg 1.2 vs 0.5 per occupation). Translates into the Lens 1 regulated-absorption-friction score that ranges 0.46 (BA) to 0.68 (IS).	Der Unterschied zwischen EU- und UK-Vorschriften, der die Wechsel-Fähigkeit von Arbeitern beeinflusst.
Annex III	The list in the EU AI Act of high-risk AI systems requiring deployer-side compliance. Per-country counts of ~40 high-risk deployer occupations carry Lens 4 squeeze quantification.	Die Liste der Hochrisiko-KI-Systeme im EU-KI-Gesetz.
PWD (Product Liability)	Product Liability Directive post-market duty obligations attached to AI deployments. Per-country counts of ~29 occupations sit in the Lens 4 squeeze quantification alongside Annex III.	Pflichten zur Produkt-Haftung für KI-Anbieter nach Markteinführung.
Zone A / Zone B / Zone C / Zone D	Occupational zones from Layer 4. Zone A: clerical/admin (high AI substitution, low retirement attrition). Zone B: mid-skill manual. Zone C: healthcare/trades/care (low AI substitution, high retirement attrition — unfillable shortage). Zone D: ICT/specialist (EU-wide gap of ~10 M by 2030).	Vier Berufs-Gruppen. A: Büro-Jobs, B: Handwerk mittel, C: Pflege/Handwerk/Gesundheit, D: IT-Spezialisten.
Retirement offset	Annual cohort exit through retirement as a share of AI-displaceable employment per country. Threshold for buffer_holds: 80%. Maximum observed: ~26% (BG/EL/HR/LT/LV/MT/PL/PT/RO). Refutes the silver-lining ageing argument across all 36 markets.	Wie viele Renten-Eintritte pro Jahr im Vergleich zu den Jobs, die KI ersetzen kann.
